City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,rio grande,-32.035,-52.0986,28.06,62,100,5.77,BR,1686337684
263,la'ie,21.6477,-157.9253,27.98,82,92,5.81,US,1686337684
264,bredasdorp,-34.5322,20.0403,12.27,89,88,0.37,ZA,1686337685
265,mandalgovi,45.7625,106.2708,16.27,40,0,3.49,MN,1686337685
266,villa gesell,-37.2639,-56.973,11.7,54,100,8.69,AR,1686337593
267,kralupy nad vltavou,50.2411,14.3115,20.39,87,0,1.54,CZ,1686337685
268,arraial do cabo,-22.9661,-42.0278,24.92,65,0,4.63,BR,1686337686
269,tete,-16.1564,33.5867,24.63,37,3,1.36,MZ,1686337686
270,ugoofaaru,5.6667,73.0,28.51,79,100,5.46,MV,1686337687
271,ruteng,-8.6136,120.4721,17.06,94,100,0.98,ID,1686337687
272,pangoa,-12.1167,-73.0,29.32,53,46,1.83,PE,1686337687
273,turka,49.1541,23.0297,14.53,94,60,0.74,UA,1686337687
274,kourou,5.1552,-52.6478,30.03,71,17,3.15,GF,1686337688
275,kuressaare,58.2481,22.5039,14.45,50,6,4.63,EE,1686337688
276,ambovombe,-25.1667,46.0833,20.6,81,1,3.36,MG,1686337688
277,vila franca do campo,37.7167,-25.4333,19.23,82,99,1.35,PT,1686337688
278,taltal,-25.4,-70.4833,18.85,71,24,2.84,CL,1686337689
279,la maddalena,41.2142,9.4083,22.09,86,100,3.11,IT,1686337689
280,miri,4.4148,114.0089,24.87,83,100,1.34,MY,1686337689
281,ulaangom,49.9811,92.0667,21.75,40,37,2.2,MN,1686337690
282,baro,8.6,6.4167,26.87,76,39,1.07,NG,1686337690
283,mendoza,-32.8908,-68.8272,13.74,44,75,5.14,AR,1686337467
284,navolato,24.7672,-107.6944,33.1,21,31,3.53,MX,1686337691
285,live oak,36.9836,-121.9805,23.21,75,100,3.58,US,1686337691
286,terrace,54.5163,-128.6035,20.12,44,94,0.92,CA,1686337692
287,pathein,16.7833,94.7333,26.39,81,45,1.92,MM,1686337692
288,rajpipla,21.8667,73.5,30.17,73,0,6.54,IN,1686337692
289,touros,-5.1989,-35.4608,26.91,80,23,5.52,BR,1686337693
290,beaufort west,-32.3567,22.583,10.49,63,2,1.43,ZA,1686337694
291,curuca,-0.7289,-47.8481,28.02,84,4,2.79,BR,1686337694
292,ivdel',60.6911,60.4206,8.09,67,78,2.63,RU,1686337696
293,kone,-21.0595,164.8658,19.55,73,83,1.71,NC,1686337594
294,merizo village,13.2658,144.6691,27.85,97,100,1.45,GU,1686337696
295,oriximina,-1.7656,-55.8661,29.63,66,96,1.92,BR,1686337697
296,umm kaddadah,13.6017,26.6876,34.78,32,35,1.1,SD,1686337697
297,zhangye,38.9342,100.4517,23.29,18,75,2.47,CN,1686337698
298,saint-joseph,-21.3667,55.6167,22.21,80,19,4.37,RE,1686337698
299,polewali,-3.4324,119.3435,24.18,93,51,1.44,ID,1686337698
300,ust-tsilma,65.441,52.1498,7.54,95,100,2.05,RU,1686337699
301,tolanaro,-25.0319,46.9987,21.38,92,0,3.43,MG,1686337699
302,le port,-20.9373,55.2919,23.98,86,2,2.58,RE,1686337699
303,kiruna,67.8557,20.2251,11.51,30,0,3.09,SE,1686337699
304,karratha,-20.7377,116.8463,21.56,47,100,3.47,AU,1686337700
305,puerto madryn,-42.7692,-65.0385,12.38,22,0,5.15,AR,1686337213
306,cambridge,43.3601,-80.3127,22.25,66,100,5.14,CA,1686337437
307,ad dawadimi,24.5077,44.3924,32.09,14,0,2.7,SA,1686337701
308,tarnogskiy gorodok,60.4997,43.5761,5.65,73,15,3.63,RU,1686337701
309,island harbour,50.724,-1.2758,26.02,79,57,7.31,GB,1686337702
310,at taj,24.2049,23.2857,31.32,20,0,6.46,LY,1686337702
311,nema,57.5067,50.5011,12.79,95,100,4.94,RU,1686337702
312,pico truncado,-46.7949,-67.9573,6.57,29,97,3.67,AR,1686337702
313,katpur,21.05,71.7833,29.35,86,0,6.97,IN,1686337703
314,guri-si,37.5986,127.1394,17.82,78,47,1.72,KR,1686337703
315,kalmunai,7.4167,81.8167,27.4,78,100,3.2,LK,1686337703
316,uthal,25.8072,66.6219,29.09,77,99,3.91,PK,1686337703
317,qom,34.6401,50.8764,27.17,33,5,2.84,IR,1686337703
318,acapulco de juarez,16.8634,-99.8901,32.9,58,0,9.77,MX,1686337704
319,kamiiso,41.8167,140.65,14.04,99,100,3.01,JP,1686337704
320,santana,-0.0583,-51.1817,33.1,62,40,4.63,BR,1686337494
321,ormond beach,29.2858,-81.0559,33.95,62,100,1.34,US,1686337229
322,wanxian,30.8039,108.3897,23.88,88,78,0.99,CN,1686337704
323,greenville,35.6127,-77.3663,27.85,38,40,1.79,US,1686337647
324,bonthe,7.5264,-12.505,27.67,79,65,3.68,SL,1686337705
325,nuuk,64.1835,-51.7216,5.34,75,75,11.83,GL,1686337705
326,punta del este,-34.9667,-54.95,17.06,79,75,8.94,UY,1686337705
327,letlhakeng,-24.0944,25.0298,14.98,23,0,4.1,BW,1686337705
328,aripuana,-9.1667,-60.6333,33.71,41,60,1.04,BR,1686337705
329,praia da vitoria,38.7333,-27.0667,18.14,72,26,4.05,PT,1686337706
330,angamacutiro de la union,20.1667,-101.6833,34.41,12,13,1.98,MX,1686337706
331,khanty-mansiysk,61.0042,69.0019,7.06,100,2,0.0,RU,1686337706
332,itacarambi,-15.1022,-44.0919,31.63,31,62,1.7,BR,1686337706
333,vuktyl,63.8567,57.3094,10.5,51,86,6.44,RU,1686337707
334,howrah,22.5892,88.3103,26.0,83,100,2.57,IN,1686337707
335,port moresby,-9.4431,147.1797,23.72,86,58,4.25,PG,1686337707
